"KEY","dist_to_video_hall"
"uuid:e36fd611-d39d-4960-9744-6e195f2a4257",47
"uuid:4033eb3a-d8a8-452e-a35e-938254b74c7e",192
"uuid:690a3f50-a32f-4644-8a27-96837f8ca682",49
"uuid:eed54e09-0ba1-46f9-8c6e-2dce408f3db7",84
"uuid:f97c172a-1dc5-485f-8c76-e1c1426f3114",67
"uuid:9627c64a-1d3c-4d61-a0e5-e60c09a21a14",69
"uuid:e5ecf4bc-acf0-49a1-a448-c3bf4122bf66",117
"uuid:38ab5313-05f1-42f2-9c5c-6908b4f9f619",46
"uuid:c3a666a9-2835-4630-8593-96a7da5efc67",69
"uuid:c5707e8b-f53e-43b7-b89b-b295c08a5c8c",11
"uuid:91ad23b4-6daf-4109-b802-73a3ca2f6adb",1169
"uuid:cc5b603e-323a-4f5d-8f07-3733b6a8b497",252
"uuid:af1ca9f8-7d48-4d82-aa3b-4aa2bd430d92",70
"uuid:b2937350-cfc7-432b-8387-3a4223e40a84",444
"uuid:fe3ca99c-bf5f-4ec3-a59b-2ccd8e636ecc",170
"uuid:3deb7b79-4b0c-4f13-830f-801e149dfeed",258
"uuid:688541de-ae83-41b2-917c-f1ec82765841",68
"uuid:02d4c71f-78fe-4100-956d-a9e08d5ffeb5",65
"uuid:51c9a566-24de-431f-b5f0-17ccfc9c9fff",266
"uuid:5dcf38d0-f4e3-4d69-a35d-833cfbb9b326",262
"uuid:80c4a88e-6699-4e56-8327-a567b81b15e8",80
"uuid:2286843e-05b9-4665-959b-d0af42bf9fbb",289
"uuid:9785c179-eb6e-475c-80e6-8ea96562a0e3",80
"uuid:3b3fb23e-9d4e-40c9-b860-12c0c1dbcfef",478
"uuid:259dd37d-a539-450f-900f-38582b109daf",120
"uuid:763ef53a-87fe-47cd-a977-5a6422fc146f",149
"uuid:a504808f-7d73-4b44-b1c4-7d517e7897ef",77
"uuid:32f9f0b2-8e3f-4f61-b6cf-ec8ece87e314",70
"uuid:3b3c74c4-d87e-4add-871f-c3a4689263c9",108
"uuid:bc4557cb-5b5c-43e2-aabd-0e6f60b8daa7",100
"uuid:9ff3bcd4-fea7-4292-a7b9-5b16ad313497",765
"uuid:df6ab1d4-8a91-4c80-9c40-db87888e2d82",83
"uuid:2bb14564-4d5a-4387-a969-eef421d460c3",80
"uuid:c9e47188-a5c5-4090-b237-d0a74ccc7f1e",52
"uuid:6ede112c-a004-4480-91aa-beae3d4d0550",61
"uuid:db253031-9c8e-4b74-a03a-f69f3853d3f5",75
"uuid:f5b112c3-cf89-4781-8932-4d50b7e1e845",63
"uuid:76bb63d0-757e-43a6-ae66-a9b9d0ffe120",278
"uuid:cfe15783-1f5b-43a6-8643-90e048a137a7",80
"uuid:e236f8c1-9688-432b-859d-c334516877d8",181
"uuid:2c75bc5d-60cf-4009-a102-baf2d5585f73",375
"uuid:d5ee62e8-fa90-45c6-93b9-3b479cd3bb61",83
"uuid:68183ca8-ceaa-4cc2-9a78-583bab3f1ce9",143
"uuid:06da4893-9798-40e7-8c65-f3a60bd42f13",71
"uuid:09f6de90-2e4e-4990-9115-a8ae97de8a3e",42
"uuid:9676ff95-76f1-46dd-a532-25cd0521db62",82
"uuid:c623c8a3-605e-4a8d-a4eb-e09b6fe5a8a1",25
"uuid:5ff23c11-ce4e-44c3-bb5f-a544e648b85e",121
"uuid:51710aa5-370c-4692-a85e-5863db083bb4",81
"uuid:5dcee704-88cb-4bd3-98a5-9d5ddb9f6a08",41
"uuid:2dff67b6-bd47-4293-b4e0-49b8b6d6646b",69
"uuid:853abbf7-f506-45de-851c-7f79ebc3f7a6",796
"uuid:3e50d682-cac2-41bc-ab70-f30dd34e32f2",57
"uuid:e7e9caa3-50b9-4ec1-9e6a-416445de10eb",73
"uuid:e93343df-c03d-4c7d-9410-7c53322948af",75
"uuid:cb03d738-f675-48e3-889a-14fc349cb411",51
"uuid:6e9b6047-3da2-43d2-8e39-fa40ea1591a4",144
"uuid:14fff920-a929-49d7-aeb0-10f52cf8c1d1",1979
"uuid:f095866e-c480-4dd1-bbb8-2b0b2710c989",401
"uuid:bb4ee905-b680-43cb-a7e6-9d22b24511fd",274
"uuid:d34f08ce-e0a4-422e-a566-83fd7e70e275",121
"uuid:cd616466-3caa-4b60-b35e-233d9ba1afa9",153
"uuid:b4c0fe9f-cd03-4823-8125-26e5bf858b6e",129
"uuid:ff2021e3-3026-4e82-a031-2499bba0ba79",52
"uuid:c7a57609-d937-47ba-93a9-9a114535e4f5",77
"uuid:6b462262-824c-410e-9b77-7cc624d82cc4",118
"uuid:3c9ef5c1-53ab-40dd-87c2-ca191c39ee0a",80
"uuid:5bf88b1d-b320-4c57-aab9-546269331e8f",239
"uuid:bb54d6d2-5b9a-4b64-8944-b41691bb0f13",548
"uuid:47a46a0b-799a-4c6d-b608-4fe058f1bb31",145
"uuid:1a134760-996f-4c97-9126-a07b61f0a111",946
"uuid:8143e58b-f64f-4b0b-a4c9-2b5bbf120868",30
"uuid:e3b4414a-387f-45b6-bd0c-169511c9f093",31
"uuid:a2cfee09-25d1-4020-b247-eb4ecca1858e",29
"uuid:ac98bddb-c014-4d09-82ab-21f717661d15",122
"uuid:fc21f796-1de4-4de4-a11b-5a1a12af9120",35
"uuid:1eb9bac8-ed54-424f-a6ae-0c9ec49ea747",103
"uuid:7cab51a0-8da8-4af8-8ec9-4fc5d1c191ef",205
"uuid:34fec2f1-5369-4f52-9f3a-6a9ef1b9d9c5",180
"uuid:d9509c46-d206-4abf-b82a-1c4a863fcc53",7
"uuid:c8e47097-ed7f-4c26-958a-bcadc9f3e816",44
