"","SubmissionDate","starttime","endtime","tl","note_1","note_2","intro","consent_text","consent","note_3","date_time","id","gender_q2_1","age_q2_2","vht_naba","long_VHT_q2_3","unit_q2_3vht","number_q2_3vht","started_VHT_q2_4","paid_q2_5vht","earn_q2_6vht","long_naba_q2_3","unit_q2_3naba","number_q2_3naba","started_naba_q2_4","paid_q2_5naba","earn_q2_6naba","hospital_q2_7","unit_q2_7","number_q2_7","hospital_q2_7b","unit_q2_7b","number_q2_7b","households_q2_8","visits_q2_9","visits_q2_9units","visits_q2_9number","note_3_1","violence_q3_1f","other_q3_1g","other_q3_1g_number","q3_2err","note_3_3","victim_q3_3a","perpetrator_q3_3b","victim_fam_q3_3c","perpetrator_fam_q3_3d","victim_friends_q3_3e","perpetrator_friends_q3_3f","neighbors_q3_3g","other_q3_3h","other_q3_3h_number","q3_3err","viol_unreported_q3_2","viol_unreported_q3_3b","viol_nomedic_q3_5","viol_nomedic_q3_5why","advice_q3_6","years_vill_q2_12","people_known_q2_13","intervene_q8_9","friends_fam_q16_3","note_q6_1","rounds_q6_1","machete_q6_2","killed_witch_q14_1","possible_kill_q14_1b","witchdoctor_q6_4","films_q17_1","other_attend_q17_2","note_thanks","instanceID","formdef_version","KEY","tc_id"
"11","11/4/2016 19:49","11/4/2016 14:05","11/4/2016 14:24",2,NA,NA,NA,NA,1,NA,"11/4/2016 14:05","V407312",1,26,1,NA,2,5,"I was selected to replace another VHT to work for an NGO",2,"Farming",NA,NA,NA,NA,NA,NA,NA,1,20,NA,1,20,200,NA,3,1,NA,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,1,"Lack of transport to the hospital","I ask the woman what the cause of the violence is, and later I talk to the husband to get his side of the story",26,2,1,1,NA,1,2,2,1,3,7,1,NA,"uuid:18b93cc1-49e2-48ba-8624-9b78c34c22a1",1611022330,"uuid:18b93cc1-49e2-48ba-8624-9b78c34c22a1",88
"12","11/5/2016 18:59","11/5/2016 9:59","11/5/2016 12:51",3,NA,NA,NA,NA,1,NA,"11/5/2016 12:59","V416233",2,38,1,NA,2,2,"Started slowly going to the hospital then later I was appointed by the chairman",2,"Has a stall and sells clothes too in different markets and days",NA,NA,NA,NA,NA,NA,NA,1,15,NA,1,5,30,NA,3,1,NA,0,"None",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,NA,"I can advice her to please her husband or pray to God so that he change the situation and if it all fails she should go police",22,2,1,1,NA,1,1,2,1,3,7,4,NA,"uuid:1dd2558f-b42a-4726-9d74-93d1f2dac5a4",1611022330,"uuid:1dd2558f-b42a-4726-9d74-93d1f2dac5a4",96
"13","11/7/2016 11:29","11/7/2016 10:55","11/7/2016 11:29",3,NA,NA,NA,NA,1,NA,"11/7/2016 11:05","V416012",2,49,1,NA,2,10,"11",2,"Farming",NA,NA,NA,NA,NA,NA,NA,1,15,NA,1,30,200,NA,4,2,NA,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,"I counsel them",35,2,1,1,NA,2,1,2,1,NA,7,1,NA,"uuid:9a8bd49b-80c8-4bda-a45f-b34552e44e11",1611022330,"uuid:9a8bd49b-80c8-4bda-a45f-b34552e44e11",93
"14","11/7/2016 13:26","11/7/2016 10:43","11/7/2016 11:09",4,NA,NA,NA,NA,1,NA,"11/7/2016 10:43","V416014",2,68,2,NA,NA,NA,NA,NA,NA,NA,2,14,"I was elected by the village residents",2,"Farming",NA,1,20,NA,1,30,NA,NA,NA,NA,NA,0,"Advising the young generation about how to be successful in life",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,"I first listen to both sides of the story and then I counsel them",38,3,1,1,NA,2,2,1,1,3,7,2,NA,"uuid:f1a115d0-a89e-4f3a-b692-25f18da7fe7e",1611022330,"uuid:f1a115d0-a89e-4f3a-b692-25f18da7fe7e",93
"15","11/7/2016 13:57","11/7/2016 12:29","11/7/2016 12:40",2,NA,NA,NA,NA,1,NA,"11/7/2016 12:30","V412192",1,31,1,NA,2,6,"I was elected by the people through the chairperson",2,"Farming",NA,NA,NA,NA,NA,NA,NA,2,30,NA,1,30,600,NA,4,2,NA,3,"0",0,NA,NA,2,1,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"I talk to her husband first then offer counseling to both of them",31,2,1,1,NA,1,2,2,2,3,8,4,NA,"uuid:d5ad5090-2fca-45a0-bbfc-e6d3c9f67e4d",1611022330,"uuid:d5ad5090-2fca-45a0-bbfc-e6d3c9f67e4d",77
"16","11/7/2016 13:57","11/7/2016 13:06","11/7/2016 13:22",2,NA,NA,NA,NA,1,NA,"11/7/2016 13:07","V412194",1,29,1,NA,2,6,"I was elected by the people",2,"Farming",NA,NA,NA,NA,NA,NA,NA,1,10,NA,1,25,80,NA,4,1,NA,0,"0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,"I ask her why her husband beat her then refer her to a more qualified person like a village paralegal ",29,2,1,1,NA,1,2,1,1,3,8,4,NA,"uuid:656f0627-40a4-459d-8de8-eede411c3788",1611022330,"uuid:656f0627-40a4-459d-8de8-eede411c3788",77
"17","11/7/2016 13:57","11/7/2016 12:47","11/7/2016 13:03",2,NA,NA,NA,NA,1,NA,"11/7/2016 12:47","V412193",1,39,1,NA,2,4,"I was appointed by the chairperson",2,"Farming",NA,NA,NA,NA,NA,NA,NA,1,40,NA,1,30,250,NA,3,5,NA,4,"0",0,NA,NA,4,0,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"I try to counsel the couple and show them that fighting is not the solution to their troubles",7,2,1,1,NA,1,1,2,1,3,8,4,NA,"uuid:5820d5e6-c495-451c-bbc5-c63706f43158",1611022330,"uuid:5820d5e6-c495-451c-bbc5-c63706f43158",77
"18","11/7/2016 22:57","11/7/2016 10:57","11/7/2016 12:02",3,NA,NA,NA,NA,1,NA,"11/7/2016 10:57","V417141",2,40,1,NA,2,11,"Selected by the Chairman LC1",2,"She does farming where she sales crops and earns some money ",NA,NA,NA,NA,NA,NA,NA,1,45,NA,2,2,50,NA,3,2,NA,6,"0",0,NA,NA,3,0,1,1,1,0,0,"0",0,NA,NA,NA,1,"Some women do not have money to go for medication as they depend entirely on their hasbands. So they opt to keep silent.","She just fowards the case to the LC1 chairman ",40,2,1,1,NA,1,2,1,1,3,8,4,NA,"uuid:6da5853a-a730-449e-badd-993e5766640b",1611022330,"uuid:6da5853a-a730-449e-badd-993e5766640b",111
"19","11/8/2016 7:09","11/7/2016 12:08","11/7/2016 13:07",2,NA,NA,NA,NA,1,NA,"11/7/2016 12:18","V410061",2,52,2,NA,NA,NA,NA,NA,NA,NA,2,3,"The people trusted me to be their nabakyala",2,"Am a farmer",NA,2,1,NA,2,3,NA,NA,NA,NA,NA,5,"Advising people to educate their children and solving people's case or issues",0,NA,NA,3,1,1,0,0,0,0,"O",0,NA,NA,NA,1,"Husbands lack responsibility","I call both the husband and wife,we sit together to find out why its happening and solve the situation",17,2,2,1,NA,2,1,1,2,NA,7,1,NA,"uuid:ec7f6248-2e9c-47c6-91fe-a316c36b9cbd",1611022330,"uuid:ec7f6248-2e9c-47c6-91fe-a316c36b9cbd",72
"20","11/8/2016 16:57","11/7/2016 14:17","11/7/2016 14:41",3,NA,NA,NA,NA,1,NA,"11/7/2016 14:17","V401054",1,36,1,NA,2,8,"Was selected by the council members because i used to do lots of voluntary work",2,"Farming",NA,NA,NA,NA,NA,NA,NA,1,30,NA,1,30,150,NA,1,1,NA,3,"0",0,NA,NA,2,1,0,0,0,0,0,"0",0,NA,NA,NA,2,NA,"I tell her to invite her husband for counselling , if he refuses , i ask her to report to police",36,2,1,1,NA,2,2,2,1,3,7,1,NA,"uuid:e7b04b22-a719-4e1e-9501-d663787f5001",1611022330,"uuid:e7b04b22-a719-4e1e-9501-d663787f5001",83
